"Kit Carson County, Colorado",Kit Carson County, Colorado,"7,087","5,649",24,45,31,10,613
"Lake County, Colorado",Lake County, Colorado,"7,436","4,996",38,157,67,8,"1,057"
"La Plata County, Colorado",La Plata County, Colorado,"55,638","44,366",205,"3,342",397,36,"2,280"
"Larimer County, Colorado",Larimer County, Colorado,"359,066","295,995","3,815","2,878","8,538",325,"13,795"
"Las Animas County, Colorado",Las Animas County, Colorado,"14,555","10,035",211,367,116,19,"1,603"
"Lincoln County, Colorado",Lincoln County, Colorado,"5,675","4,397",275,75,47,24,493
"Logan County, Colorado",Logan County, Colorado,"21,528","17,261",765,231,128,23,"1,618"
"Mesa County, Colorado",Mesa County, Colorado,"155,703","127,970","1,151","1,723","1,676",208,"7,821"
"Mineral County, Colorado",Mineral County, Colorado,865,789,3,6,3,0,0
"Moffat County, Colorado",Moffat County, Colorado,"13,292","10,872",77,155,54,2,789
"Montezuma County, Colorado",Montezuma County, Colorado,"25,849","18,958",80,"3,342",143,28,"1,095"
"Montrose County, Colorado",Montrose County, Colorado,"42,679","33,395",181,577,338,36,"3,870"
"Morgan County, Colorado",Morgan County, Colorado,"29,111","19,184",975,404,157,11,"4,422"
"Otero County, Colorado",Otero County, Colorado,"18,690","12,847",165,376,101,28,"2,356"
"Ouray County, Colorado",Ouray County, Colorado,"4,874","4,396",16,16,28,4,93
"Park County, Colorado",Park County, Colorado,"17,390","15,318",94,167,104,9,335
"Phillips County, Colorado",Phillips County, Colorado,"4,530","3,500",19,52,22,2,480
"Pitkin County, Colorado",Pitkin County, Colorado,"17,358","14,797",106,76,290,14,836
"Prowers County, Colorado",Prowers County, Colorado,"11,999","8,131",109,275,31,6,"1,916"
